Name,ID,Email-ID
Beate Walter-Rosenheimer,858152,
Marco Wanderwitz,858160,
Nina Warken,858188,
Sandra Weeser,858156,
Carmen Wegge,860290,
Melanie Wegling,860676,
Dr. Alice Weidel,858184,
Dr. Joe Weingarten,858196,
Dr. Anja Weisgerber,858178,
Saskia Weishaupt,860332,
Maria-Lena Weiss,861824,
Sabine Weiss,858150,
Stefan Wenzel,860834,
Lena Werner,861196,
Nicole Westig,858198,
Bernd Westphal,858148,
Prof. Dr. Harald Weyel,858182,
Kai Whittaker,858194,
Annette Widmann-Mauz,858200,
Wolfgang Wiehle,858168,
Dr. Klaus Wiener,861052,
Dirk Wiese,858180,
Klaus-Peter Willsch,858176,
Elisabeth Winkelmeier-Becker,858192,
Tobias Winkler,860366,
Tina Winklmann,860348,
Dr. Christian Wirth,858172,
Dr. Volker Wissing,861446,
Janine Wissler,861432,
Uwe Witt,858154,
Mechthilde Wittmann,860322,
Dr. Herbert Wollmann,861474,
Mareike Lotte Wulf,860802,
Joachim Wundrak,861462,
Gülistan Yüksel,858204,
Emmi Zeulner,858212,
Kay-Uwe Ziegler,863322,
Paul Ziemiak,858210,
Stefan Zierke,858206,
Dr. Jens Zimmermann,858214,
Nicolas Zippelius,861658,
Armand Zorn,861560,
Katrin Zschau,860826,
