"Sehr geehrter Herr Oliver Krischer,",857624
"Sehr geehrter Herr Martin Kröber,",861314
"Sehr geehrter Herr Michael Kruse,",860754
"Sehr geehrter Herr Tilman Kuban,",860800
"Sehr geehrter Herr Wolfgang Kubicki,",857640
"Sehr geehrter Herr Christian Kühn,",857612
"Sehr geehrter Herr Kevin Kühnert,",860416
"Sehr geehrte Frau Renate Künast,",857614
"Sehr geehrter Herr Konstantin Kuhle,",857616
"Sehr geehrter Herr Markus Kurth,",857638
"Sehr geehrte Frau Sarah Lahrkamp,",860984
"Sehr geehrter Herr Alexander Graf Lambsdorff,",857686
"Sehr geehrte Frau Ricarda Lang,",860132
"Sehr geehrter Herr Ulrich Lange,",863316
"Sehr geehrter Herr Andreas Larem,",860644
"Sehr geehrter Herr Armin Laschet,",860940
"Sehr geehrte Frau Ina Latendorf,",860778
"Sehr geehrte Frau Dr. Silke Launert,",857690
"Sehr geehrter Herr Prof. Dr. Karl Lauterbach,",857696
"Sehr geehrte Frau Caren Lay,",857654
"Sehr geehrter Herr Ulrich Lechte,",857684
"Sehr geehrter Herr Jens Lehmann,",857694
"Sehr geehrter Herr Sven Lehmann,",857664
"Sehr geehrte Frau Sylvia Lehmann,",857668
"Sehr geehrter Herr Paul Lehrieder,",857676
"Sehr geehrte Frau Dr. Katja Leikert,",857650
"Sehr geehrter Herr Kevin Leiser,",860222
"Sehr geehrte Frau Steffi Lemke,",857674
"Sehr geehrter Herr Jürgen Lenders,",860780
"Sehr geehrte Frau Barbara Lenk,",860782
"Sehr geehrter Herr Ralph Lenkert,",857698
"Sehr geehrter Herr Dr. Andreas Lenz,",857656
"Sehr geehrter Herr Christian Leye,",860784
"Sehr geehrte Frau Luiza Licina-Bode,",861002
"Sehr geehrter Herr Dr. Thorsten Lieb,",860786
"Sehr geehrte Frau Anja Liebert,",861930
"Sehr geehrter Herr Esra Limbacher,",861252
"Sehr geehrter Herr Helge Limburg,",860820
"Sehr geehrter Herr Lars Lindemann,",860788
"Sehr geehrter Herr Helge Lindh,",857648
"Sehr geehrte Frau Andrea Lindholz,",857700
"Sehr geehrter Herr Christian Lindner,",857658
"Sehr geehrter Herr Dr. Tobias Lindner,",857672
"Sehr geehrter Herr Michael Georg Link,",857678
