Nachname,Vorname,Anrede,Geschlecht,ID
Grundmann,Oliver,Oliver Grundmann,M,857356
Güler,Serap,Serap Güler,F,860942
Güntzler,Fritz,Fritz Güntzler,M,857354
Gürpinar,Ates,Ates Gürpinar,M,860516
Gutting,Olav,Olav Gutting,M,857342
Gysi,Dr. Gregor,Dr. Gregor Gysi,M,863130
Haase,Christian,Christian Haase,M,857456
Habeck,Dr. Robert,Dr. Robert Habeck,M,861322
Hacker,Thomas,Thomas Hacker,M,857486
Hagedorn,Bettina,Bettina Hagedorn,F,857422
Hagl-Kehl,Rita,Rita Hagl-Kehl,F,857446
Hahn,Dr. André,Dr. André Hahn,M,857462
Hahn,Florian,Florian Hahn,M,857470
Hakverdi,Metin,Metin Hakverdi,M,857438
Hanke,Reginald,Reginald Hanke,M,857466
Harder-Kühnel,Mariana Iris,Mariana Iris Harder-Kühnel,F,857390
Hardt,Jürgen,Jürgen Hardt,M,857408
Hartewig,Philipp,Philipp Hartewig,M,860586
Hartmann,Sebastian,Sebastian Hartmann,M,857488
Harzer,Ulrike,Ulrike Harzer,F,860588
Haßelmann,Britta,Britta Haßelmann,F,857416
Hauer,Matthias,Matthias Hauer,M,857432
Haug,Jochen,Jochen Haug,M,857388
Heck,Dr. Stefan,Dr. Stefan Heck,M,860650
Heidenblut,Dirk,Dirk Heidenblut,M,857440
Heidt,Peter,Peter Heidt,M,857476
Heil,Hubertus,Hubertus Heil,M,857452
Heil,Mechthild,Mechthild Heil,F,857412
Heiligenstadt,Frauke,Frauke Heiligenstadt,F,860864
Heilmann,Thomas,Thomas Heilmann,M,857430
Heinrich,Gabriela,Gabriela Heinrich,F,857410
Heitmann,Linda,Linda Heitmann,F,860706
Helferich,Matthias,Matthias Helferich,M,860592
Helfrich,Mark,Mark Helfrich,M,857398
Helling-Plahr,Katrin,Katrin Helling-Plahr,F,857420
Hellmich,Wolfgang,Wolfgang Hellmich,M,857434
Henneberger,Kathrin,Kathrin Henneberger,F,860936
Hennig,Anke,Anke Hennig,F,860878
Hennig-Wellsow,Susanne,Susanne Hennig-Wellsow,F,860596
Hennrich,Michael,Michael Hennrich,M,857406
Henrichmann,Marc,Marc Henrichmann,M,857478
Herbrand,Markus,Markus Herbrand,M,857442
Herbst,Torsten,Torsten Herbst,M,857454
Herrmann,Bernhard,Bernhard Herrmann,M,861258
Heselhaus,Nadine,Nadine Heselhaus,F,860970
Hess,Martin,Martin Hess,M,857490
Hessel,Katja,Katja Hessel,F,857474
Heveling,Ansgar,Ansgar Heveling,M,857460
Hierl,Susanne,Susanne Hierl,F,860324
Hilse,Karsten,Karsten Hilse,M,857458
Hirte,Christian,Christian Hirte,M,857492
Hitschler,Thomas,Thomas Hitschler,M,857396
Hocker,Dr. Gero Clemens,Dr. Gero Clemens Hocker,M,857472
Höchst,Nicole,Nicole Höchst,F,857424
Höferlin,Manuel,Manuel Höferlin,M,857484
Hönel,Bruno,Bruno Hönel,M,861328
Hoffmann,Alexander,Alexander Hoffmann,M,857494
Hoffmann,Dr. Bettina,Dr. Bettina Hoffmann,F,857468
Hoffmann,Dr. Christoph,Dr. Christoph Hoffmann,M,857402
Hofreiter,Dr. Anton,Dr. Anton Hofreiter,M,857482
Holm,Leif-Erik,Leif-Erik Holm,M,857480
Hoppenstedt,Dr. Hendrik,Dr. Hendrik Hoppenstedt,M,857418
Hoppermann,Franziska,Franziska Hoppermann,F,860600
Hostert,Jasmina,Jasmina Hostert,F,860128
Houben,Reinhard,Reinhard Houben,M,857414
Huber,Johannes,Johannes Huber,M,857428
Hubertz,Verena,Verena Hubertz,F,861188
Hümpfer,Markus,Markus Hümpfer,M,860292
Hüppe,Hubert,Hubert Hüppe,M,860964
Hunko,Andrej,Andrej Hunko,M,857404
Huy,Gerrit,Gerrit Huy,F,860640
in der Beek,Olaf,Olaf in der Beek,M,857498
Irlstorfer,Erich,Erich Irlstorfer,M,857500
Jacobi,Fabian,Fabian Jacobi,M,857514
Janecek,Dieter,Dieter Janecek,M,857506
Janich,Steffen,Steffen Janich,M,860662
Janssen,Anne,Anne Janssen,F,860798
Jarzombek,Thomas,Thomas Jarzombek,M,857510
Jensen,Gyde,Gyde Jensen,F,857518
Jongen,Dr. Marc,Dr. Marc Jongen,M,857508
Jung,Andreas,Andreas Jung,M,857502
Jung,Ingmar,Ingmar Jung,M,857512
Junge,Frank,Frank Junge,M,857516
Juratovic,Josip,Josip Juratovic,M,857504
Jurisch,Dr. Ann-Veruschka,Dr. Ann-Veruschka Jurisch,F,860692
Kaczmarek,Oliver,Oliver Kaczmarek,M,863312
Kaddor,Lamya,Lamya Kaddor,F,860914
Kaiser,Elisabeth,Elisabeth Kaiser,F,863132
Kappert-Gonther,Dr. Kirsten,Dr. Kirsten Kappert-Gonther,F,857550
Karaahmetoğlu,Macit,Macit Karaahmetoğlu,M,860182
Karliczek,Anja,Anja Karliczek,F,857544
Kasper,Carlos,Carlos Kasper,M,861280
Kassautzki,Anna,Anna Kassautzki,F,860822
Katzmarek,Gabriele,Gabriele Katzmarek,F,857596
Kaufmann,Dr. Malte,Dr. Malte Kaufmann,M,860720
Kaufmann,Prof. Dr.-Ing. habil. Michael,Prof. Dr.-Ing. habil. Michael Kaufmann,M,860722
Keller,Rainer Johannes,Rainer Johannes Keller,M,861916
Kellner,Michael,Michael Kellner,M,860560
Kemmer,Ronja,Ronja Kemmer,F,857538
Kersten,Dr. Franziska,Dr. Franziska Kersten,F,861316
Keul,Katja,Katja Keul,F,857546
Keuter,Stefan,Stefan Keuter,M,857560
Khan,Misbah,Misbah Khan,F,861222
Kiesewetter,Roderich,Roderich Kiesewetter,M,857588
Kießling,Michael,Michael Kießling,M,857602
Kindler,Sven-Christian,Sven-Christian Kindler,M,857556
Kippels,Dr. Georg,Dr. Georg Kippels,M,857584
Kipping,Katja,Katja Kipping,F,857598
Kiziltepe,Cansel,Cansel Kiziltepe,F,857554
Kleebank,Helmut,Helmut Kleebank,M,861504
Klein,Karsten,Karsten Klein,M,857608
Klein,Dr. Ottilie,Dr. Ottilie Klein,F,860522
Klein,Volkmar,Volkmar Klein,M,857570
Klein-Schmeink,Maria,Maria Klein-Schmeink,F,857558
Kleinwächter,Norbert,Norbert Kleinwächter,M,857576
Klinck,Dr. Kristian,Dr. Kristian Klinck,M,861384
Klingbeil,Lars,Lars Klingbeil,M,857600
Klöckner,Julia,Julia Klöckner,F,861140
Klose,Annika,Annika Klose,F,860418
Kluckert,Daniela,Daniela Kluckert,F,857594
Klüssendorf,Tim,Tim Klüssendorf,M,861362
Knoerig,Axel,Axel Knoerig,M,857578
Kober,Pascal,Pascal Kober,M,857540
Köhler,Dr. Lukas,Dr. Lukas Köhler,M,857606
König,Anne,Anne König,F,861538
König,Jörn,Jörn König,M,857604
Koeppen,Jens,Jens Koeppen,M,857548
Körber,Carsten,Carsten Körber,M,857574
Kofler,Dr. Bärbel,Dr. Bärbel Kofler,F,857572
Komning,Enrico,Enrico Komning,M,857566
Konrad,Carina,Carina Konrad,F,857568
Koob,Markus,Markus Koob,M,857592
Kopf,Chantal,Chantal Kopf,F,860140
Korte,Jan,Jan Korte,M,857580
Koß,Simona,Simona Koß,F,860480
Kotré,Steffen,Steffen Kotré,M,857630
Krämer,Philip,Philip Krämer,M,860734
Kraft,Laura,Laura Kraft,F,860960
Kraft,Dr. Rainer,Dr. Rainer Kraft,M,857626
Kramme,Anette,Anette Kramme,F,857618
Kreiser,Dunja,Dunja Kreiser,F,860868
Krichbaum,Gunther,Gunther Krichbaum,M,857620
Krings,Dr. Günter,Dr. Günter Krings,M,857610
Krischer,Oliver,Oliver Krischer,M,857624
Kröber,Martin,Martin Kröber,M,861314
Kruse,Michael,Michael Kruse,M,860754
Kuban,Tilman,Tilman Kuban,M,860800
Kubicki,Wolfgang,Wolfgang Kubicki,M,857640
Kühn,Christian,Christian Kühn,M,857612
Kühnert,Kevin,Kevin Kühnert,M,860416
Künast,Renate,Renate Künast,F,857614
Kuhle,Konstantin,Konstantin Kuhle,M,857616
Kurth,Markus,Markus Kurth,M,857638
Lahrkamp,Sarah,Sarah Lahrkamp,F,860984
Lambsdorff,Alexander Graf,Alexander Graf Lambsdorff,M,857686
Lang,Ricarda,Ricarda Lang,F,860132
Lange,Ulrich,Ulrich Lange,M,863316
Larem,Andreas,Andreas Larem,M,860644
Laschet,Armin,Armin Laschet,M,860940
Latendorf,Ina,Ina Latendorf,F,860778
Launert,Dr. Silke,Dr. Silke Launert,F,857690
